,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Origins (Deluxe),1,2FY7b99s15jUprqC0M5NCT,Natural,spotify:track:2FY7b99s15jUprqC0M5NCT,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,100.0,0.22,83
1,Origins (Deluxe),2,2B1fuWoWaYnCXbjYp1gXg5,Boomerang,spotify:track:2B1fuWoWaYnCXbjYp1gXg5,0.139,0.429,0.559,0.00928,0.121,-7.493,0.152,100.073,0.347,68
2,Origins (Deluxe),3,4uGY9CqDtGtaTTLg1cgsWD,Machine,spotify:track:4uGY9CqDtGtaTTLg1cgsWD,0.0016,0.638,0.679,0.00655,0.121,-5.278,0.0425,81.045,0.596,69
3,Origins (Deluxe),4,6LXMUR2rpxFBDo6nilS3yX,Cool Out,spotify:track:6LXMUR2rpxFBDo6nilS3yX,0.00483,0.636,0.718,6.51e-06,0.292,-4.833,0.0313,143.929,0.437,66
4,Origins (Deluxe),5,2RSHsoi04658QL5xgQVov3,Bad Liar,spotify:track:2RSHsoi04658QL5xgQVov3,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,177.913,0.0827,83
5,Origins (Deluxe),6,2nkoWsTZa8LKPNGdjI5uxj,West Coast,spotify:track:2nkoWsTZa8LKPNGdjI5uxj,0.581,0.672,0.715,2.08e-06,0.101,-6.18,0.0268,104.989,0.677,68
6,Origins (Deluxe),7,2bzitsPcImYC6DZWvvLCQi,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",spotify:track:2bzitsPcImYC6DZWvvLCQi,0.000479,0.634,0.662,0.00142,0.111,-7.543,0.0325,90.011,0.244,72
7,Origins (Deluxe),8,3R4Xk37WTagjzODMNEQLvs,Bullet In A Gun,spotify:track:3R4Xk37WTagjzODMNEQLvs,0.16,0.816,0.735,0.000108,0.0665,-5.49,0.0539,130.029,0.476,66
8,Origins (Deluxe),9,4qhDA6s0MkD5XpDqGLHIEY,Digital,spotify:track:4qhDA6s0MkD5XpDqGLHIEY,0.00155,0.49,0.889,2.76e-06,0.162,-5.179,0.17,166.779,0.383,60
9,Origins (Deluxe),10,1uRBbjQ3uNFXCncWyNomHf,Only,spotify:track:1uRBbjQ3uNFXCncWyNomHf,0.015,0.691,0.803,0.0,0.0862,-5.029,0.0355,104.997,0.424,66
10,Origins (Deluxe),11,5Z9SQPYU95S6M1vcbLsDt2,Stuck,spotify:track:5Z9SQPYU95S6M1vcbLsDt2,0.263,0.621,0.478,0.0,0.257,-8.246,0.0351,115.023,0.248,65
11,Origins (Deluxe),12,5d41vXH0zvpwUrHrmqKqDc,Love,spotify:track:5d41vXH0zvpwUrHrmqKqDc,0.0535,0.697,0.507,1.19e-06,0.0469,-6.178,0.04,82.483,0.382,65
12,Origins (Deluxe),13,6Tvzf3VEi16JMhAgOwdt2y,Birds,spotify:track:6Tvzf3VEi16JMhAgOwdt2y,0.0146,0.649,0.517,1.63e-06,0.145,-7.428,0.0297,119.997,0.35,76
13,Origins (Deluxe),14,5Q7zuH8VNu7aLappSusPu6,Burn Out,spotify:track:5Q7zuH8VNu7aLappSusPu6,0.0213,0.588,0.494,7.2e-05,0.0966,-8.831,0.0536,135.004,0.291,65
14,Origins (Deluxe),15,7JAzAyjbJFPznEFdqpa1Si,Real Life,spotify:track:7JAzAyjbJFPznEFdqpa1Si,0.0147,0.262,0.564,0.00659,0.103,-7.99,0.0455,195.489,0.13,65
15,Evolve,1,31VOknKjFrEX47bZXzqcoF,Next To Me,spotify:track:31VOknKjFrEX47bZXzqcoF,0.28,0.301,0.672,3.1e-05,0.0609,-4.497,0.0623,169.497,0.384,72
16,Evolve,2,28heol5hhOGj6KYbJrRteJ,I Don’t Know Why,spotify:track:28heol5hhOGj6KYbJrRteJ,0.0066,0.639,0.641,9.91e-06,0.185,-7.423,0.0609,120.927,0.0725,67
17,Evolve,3,6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,spotify:track:6Qn5zhYkTa37e91HC1D7lb,0.0362,0.672,0.655,0.0,0.117,-5.021,0.0311,134.945,0.556,81
18,Evolve,4,0pqnGHJpmpxLKifKRmU6WP,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.0622,0.776,0.78,0.0,0.081,-4.374,0.128,124.949,0.666,87
19,Evolve,5,1y3bE5i57eUm3hfLAc7h08,Walking The Wire,spotify:track:1y3bE5i57eUm3hfLAc7h08,0.0163,0.54,0.761,0.0,0.0941,-5.339,0.0372,100.008,0.147,71
20,Evolve,6,3zT2616WcD9Df5m21OsCX0,Rise Up,spotify:track:3zT2616WcD9Df5m21OsCX0,0.0122,0.447,0.74,0.000228,0.0958,-6.607,0.0475,93.759,0.102,69
21,Evolve,7,0FfX0nofboxZjP0diT1eFv,I’ll Make It Up To You,spotify:track:0FfX0nofboxZjP0diT1eFv,0.00767,0.328,0.674,0.0398,0.29,-7.488,0.105,177.007,0.129,65
22,Evolve,8,2SJf7W18D1AEpr8L9ATu0c,Yesterday,spotify:track:2SJf7W18D1AEpr8L9ATu0c,0.253,0.569,0.645,0.0,0.413,-6.169,0.0513,156.031,0.54,63
23,Evolve,9,1dekgAFF9uTCqLsklDaCWb,Mouth Of The River,spotify:track:1dekgAFF9uTCqLsklDaCWb,0.00183,0.483,0.907,0.0509,0.152,-7.015,0.0413,96.014,0.296,65
24,Evolve,10,1zB4vmk8tFRmM9UULNzbLB,Thunder,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,0.288,85
25,Evolve,11,2Iug43iQrHN8CbGsUd2tEt,Start Over,spotify:track:2Iug43iQrHN8CbGsUd2tEt,0.00551,0.698,0.928,0.0001,0.153,-5.051,0.0706,98.04,0.757,64
26,Evolve,12,3adVVrcE2KS26OL4rYd27O,Dancing In The Dark,spotify:track:3adVVrcE2KS26OL4rYd27O,0.786,0.688,0.31,0.000974,0.102,-10.026,0.18,134.005,0.624,64
29,Smoke + Mirrors (Deluxe),3,5w5NylxR2K71isn84raTZh,Smoke And Mirrors,spotify:track:5w5NylxR2K71isn84raTZh,0.0657,0.601,0.636,0.0218,0.446,-7.283,0.0283,109.987,0.0812,51
32,Smoke + Mirrors (Deluxe),6,6Ng999MKVY9ikd8FtGaNnz,Polaroid,spotify:track:6Ng999MKVY9ikd8FtGaNnz,0.514,0.424,0.603,1.84e-06,0.238,-6.832,0.0495,155.319,0.258,54
34,Smoke + Mirrors (Deluxe),8,0rKlNsNmGGKGXo6tDgkHEn,It Comes Back To You,spotify:track:0rKlNsNmGGKGXo6tDgkHEn,0.0789,0.634,0.749,0.0166,0.0698,-7.895,0.029,100.002,0.49,49
38,Smoke + Mirrors (Deluxe),12,5ygTySvimUjWJk9WLgMDCn,Hopeless Opus,spotify:track:5ygTySvimUjWJk9WLgMDCn,0.00541,0.627,0.656,9.55e-05,0.215,-6.163,0.0358,140.107,0.555,49
40,Smoke + Mirrors (Deluxe),14,2Q4OrJV7rGtUpPsLGbchgr,Thief,spotify:track:2Q4OrJV7rGtUpPsLGbchgr,0.00272,0.416,0.715,2.23e-05,0.106,-5.75,0.0435,149.952,0.126,49
41,Smoke + Mirrors (Deluxe),15,4DRQBzgiM3SQqO5bXXPGpb,The Unknown,spotify:track:4DRQBzgiM3SQqO5bXXPGpb,0.0255,0.426,0.766,0.000808,0.0931,-8.13,0.0894,120.178,0.345,47
48,Smoke + Mirrors (Deluxe),1,2h6HdN3oPr4JijIQV29hv1,Shots,spotify:track:2h6HdN3oPr4JijIQV29hv1,0.00713,0.552,0.76,0.0113,0.313,-6.861,0.0367,104.957,0.338,55
57,Smoke + Mirrors (Deluxe),10,7HfILFCt8XErcfd25feE6A,Trouble,spotify:track:7HfILFCt8XErcfd25feE6A,0.307,0.388,0.889,0.00486,0.142,-5.281,0.116,159.96,0.327,47
58,Smoke + Mirrors (Deluxe),11,1AZY4tKB3obBrQHVz0feOf,Summer,spotify:track:1AZY4tKB3obBrQHVz0feOf,0.00536,0.539,0.824,0.0958,0.102,-7.397,0.0293,108.981,0.614,46
60,Smoke + Mirrors (Deluxe),13,6PZ2TaWkJBwlD1QxenOtpq,The Fall,spotify:track:6PZ2TaWkJBwlD1QxenOtpq,0.493,0.301,0.413,0.0433,0.112,-9.693,0.0418,120.145,0.0468,46
66,Smoke + Mirrors (Deluxe),19,6SCDzH7OCgpzwCP8yo7HIP,Battle Cry,spotify:track:6SCDzH7OCgpzwCP8yo7HIP,0.0415,0.232,0.901,0.00649,0.123,-6.84,0.124,130.055,0.0392,60
67,Smoke + Mirrors (Deluxe),20,4uyDe8SeM0Nsgzp9KMtXWn,Monster,spotify:track:4uyDe8SeM0Nsgzp9KMtXWn,0.209,0.483,0.768,0.000646,0.103,-5.431,0.0732,179.957,0.405,63
68,Smoke + Mirrors (Deluxe),21,1YvKsn3ID4XvpwSSiqu1Jc,Who We Are,spotify:track:1YvKsn3ID4XvpwSSiqu1Jc,0.00746,0.407,0.656,0.255,0.343,-7.088,0.0413,173.954,0.39,59
76,Smoke + Mirrors (Deluxe),7,4odGB283pgwsBUCYmjpXRq,Friction,spotify:track:4odGB283pgwsBUCYmjpXRq,0.0407,0.65,0.548,0.0404,0.293,-8.767,0.0357,103.95,0.29,58
78,Smoke + Mirrors (Deluxe),9,6S91KdGvAQdUU8vNpqIte7,Dream,spotify:track:6S91KdGvAQdUU8vNpqIte7,0.643,0.379,0.513,3.24e-05,0.069,-7.724,0.0492,142.067,0.108,60
85,Smoke + Mirrors (Deluxe),16,7z3AlZQ8NaPpB1Yic5cIDJ,Second Chances,spotify:track:7z3AlZQ8NaPpB1Yic5cIDJ,0.171,0.401,0.567,0.00859,0.103,-9.131,0.0355,171.059,0.362,56
86,Smoke + Mirrors (Deluxe),17,1DkwT6raJxACzdcWLviVJK,Release,spotify:track:1DkwT6raJxACzdcWLviVJK,0.86,0.379,0.396,1.21e-05,0.118,-11.247,0.0292,138.36,0.407,58
